symbol,date,close,zscore,hurst,ou_halflife,stat_signal,ml_probability,rl_action,composite_score,regime
ADBL,2026-03-03,305.0,2.5931,0.7727,5.95,0,0.5,0,0.35,trending
NABIL,2026-03-03,504.0,3.2158,0.7858,5.21,0,0.5,0,0.35,trending
